,Project Name,Title Length,Project Source,Project Type,Project Plant Year,Project Built Year,Project Country,Project Latitude,Project Longitude,Project Function,Project Description,Project Lessons,Project Link,Project Retail Rate,Project Consumption,Project PVaPC,Project Form,Project Size,Project Cost,System Type,System Building Element,System Inverter,System Cost,System Cost Intensity,System Efficiency Comprimise,System Rating,System Coverage,System Specific Yield,System Generation Measured,System Generation Simulated,System Agreement,System Agreement Rate,System Rebate,Array Orientation(s),Array Surface(s),Array Tilt(s),Array Mount(s),Module Type(s),Module Cell Type(s),Module Construction,Module Products,Module Sizes(s),Module Transparency,Module Transparency Type,Module Uniques,Module Cost,Fake Modules?,Data Source(s),Image Name,Economic FIT,Economic DR,Economic Price Change,Resolution,Manual Inspection,Keep,Note,Simple System Building Element,System Type Clean,Map Symbols,Map Symbols2,Project Function Clean,Array Orientation(s) Clean,Map Sizes,System Generation,Map Colors
10,South Beach Tower,17.0,BIPV SG,New Build,2016,2016,Singapore,1.2956742,103.856504,Mixed,The PVs located on South Beach Tower are an example of a Roof BIPV.,,,,,,,,,,Rooftop,,,,,,285,0,0.0,0.0,,,,Unknown,,,,Thin Film,CIS,,,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Mixed,Unknown,8,0.0,#c2cb7e
11,Treurenberg,11.0,Weerasinghe et al. Economic Analysis,New Build,2016,2016,Belgium,50.847663,4.360902,Office,Unknown,,,0.202,,,,,,,,,0,930,,122.0,0,418,0.0,50996.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110632,placeholder,0.52,7.79,0.005,,,,,Unknown,Unknown,circle,circle,Office,Unknown,22,50996.0,#c2cb7e
12,Castaneum Center,16.0,Weerasinghe et al. Economic Analysis,New Build,2015,2015,Italy,46.668311,11.598733,Mixed,Unknown,,,0.31,,,,,,,,,0,638,,50.0,0,1195,0.0,59750.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110642,placeholder,0.23,3.17,0.001,,,,,Unknown,Unknown,circle,circle,Mixed,Unknown,14,59750.0,#c2cb7e
13,Changhua Station,16.0,Swiss BIPV Competence Center,New Build,2015,2015,Taiwan,24.0817,120.5385,Train,Unknown,,,,,,,,,,Accessory System,,,,,99.38,1136,0,0.0,0.0,,,,360,Glass-glass Canopy,0,,Thin Film,a-Si,,NexPower Custom,,0,,,,,,placeholder,,,,,,,,Shading,Unknown,triangle-ne,embassy,Mobility,360,14,0.0,#c2cb7e
14,CSEM Facade,11.0,Swiss BIPV Competence Center,New Build,2015,2015,Switzerland,46.99743,6.946881,Office,Unknown,,,,,Na,,,,,Cold Facade,,,,,70.0,633,785.7142857,0.0,55000.0,,,,South,Ventilated BAPV Facade,90,,Crystalline,Mono,,Meyer Burger HJT,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Office,180,14,55000.0,#c2cb7e
15,Kirin Beer Factory,18.0,BIPV SG,New Build,2015,2015,Japan,35.4914311,139.6691446,Industrial,Kirin Beer Brewery bought over the building that you see in the images.,,,,,,,,,,Facade,,,,,3.6,0,0,0.0,0.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Industrial,Unknown,8,0.0,#c2cb7e
16,Lumina Case,11.0,Weerasinghe et al. Economic Analysis,New Build,2015,2015,United States,39.762552,-105.004057,Single Family Residential,Unknown,,,0.146,,,,,,,,,0,906,,21.0,0,985,0.0,20685.0,,,,Unknown,,,,Thin Film,a-Si,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110653,placeholder,0.55,2.16,0.007,,,,,Unknown,Unknown,circle,circle,Single Residential,Unknown,14,20685.0,#c2cb7e
17,Skarpnes Village,16.0,IEA Case Studies,New Build,2015,2015,Norway,58.425986,8.723334,Multi Family,Unknown,,http://bipvno.no/_wp1_skarpnes.html,,,100,,,,Integrated,,,15529.6_EURO,,,7.36,40,978.2608696,7200.0,7000.0,,,,225,roof,32,standard,Crystalline,Mono,,,1583x792,0,,1,,,,placeholder,,,,,,,,Unknown,Integrated,circle,circle,Multi Residential,225,10,7200.0,#c2cb7e
18,Solsmaragden,12.0,Weerasinghe et al. Economic Analysis,New Build,2015,2015,Norway,59.74,10.19,Multi Family Residential,Unknown,,,0.152,,,,,,,,,0,472,,115.0,0,478,0.0,54970.0,,,100.0,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110643,placeholder,0.05,1.5,0.001,,,,,Unknown,Unknown,circle,circle,Multi Residential,Unknown,22,54970.0,#c2cb7e
19,Solsmaragden,12.0,IEA Case Studies,New Build,2015,2015,Norway,59.74367,10.189423,Office,Unknown,,http://bipvno.no/_wp1_solsmaragden.html,,,23,,8650.0,27285714.29,Integrated_Attached,,standard,382000_EURO,,,183.0,1630,579.2349727,0.0,106000.0,self,,,Mixed,facade_roof,90_10,laminated,Crystalline,Mono,,,,0,,26,,No,,placeholder,,,,,,,,Unknown,Mixed,circle,circle,Office,Mixed,22,106000.0,#c2cb7e
20,Toshima Ecomusee Town,21.0,IEA Case Studies,New Build,2015,2015,Japan,35.725562,139.716689,Mixed,Unknown,,https://bipv.eurac.edu/it/casi-studio/toshima-ecomusee-town.html,,,,,49721.0,,Integrated,,,,,,57.0,0,0,0.0,0.0,FIT,,,Mixed,facade,,laminated,Thin Film,a-Si,,,8401_706,0,,1,,No,,placeholder,,,,,,,,Unknown,Integrated,circle,circle,Mixed,Mixed,14,0.0,#c2cb7e
21,Toshima Ecomusee Town,21.0,IEA Case Studies,New Build,2015,2015,Japan,35.725562,139.716689,Mixed,Unknown,,https://bipv.eurac.edu/it/casi-studio/toshima-ecomusee-town.html,,,,,44960.0,,Integrated_Roof,,,,,,77.0,0,0,0.0,0.0,self,,,Mixed,balcony_roof,,laminated,Thin Film,a-Si,,,8401_706,0,,1,,No,,placeholder,,,,,,,,Unknown,Integrated,circle,circle,Mixed,Mixed,14,0.0,#c2cb7e
22,Cable Car Station-F,19.0,Weerasinghe et al. Economic Analysis,New Build,2014,2014,Italy,46.664196,10.983006,Mobility,Unknown,,,0.302,,,,,,,,,0,1105,,30.0,0,816,0.0,24480.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110641,placeholder,0.24,3.91,0.001,,,,,Unknown,Unknown,circle,circle,Office,Unknown,14,24480.0,#c2cb7e
23,Cable Car Station-roof,22.0,Weerasinghe et al. Economic Analysis,New Build,2014,2014,Italy,46.664196,10.983006,Mobility,Unknown,,,0.302,,,,,,,,,0,1105,,19.0,0,969,0.0,18411.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110640,placeholder,0.27,3.91,0.001,,,,,Unknown,Unknown,circle,circle,Office,Unknown,10,18411.0,#c2cb7e
24,Frodeparken,11.0,IEA Case Studies,New Build,2014,2014,Sweden,59.856754,17.652527,Multi Family,Unknown,,https://whitearkitekter.com/project/frodeparken/,0.156,,28,,,,Integrated,,,,,,100.0,898.334736,700,0.0,70000.0,grid,,30.0,Mixed,facade,90,standard z-girts,Thin Film,CIS,,,1196x636,0,,1,,,,placeholder,0.02,0.8,0.001,,,,,Unknown,Integrated,circle,circle,Multi Residential,Mixed,14,70000.0,#c2cb7e
25,J&P Loughheed Arts Ctr.,23.0,IEA Case Studies,New Build,2014,2014,Canada,53.012938,-112.824803,Civic,Unknown, - Electrical design becomes much more complex once another orientation is included in the system. - Back ventilation or cooling of the panels will improve efficiency greatly. This should not be done if the aesthetic will be comprimised.,https://bipv.eurac.edu/en/case-studies/jp-lougheed-performing-arts-centre.html,0.132,,20,,4100.0,17500000,Integrated,,standard,250000_Euro,439_AUD/m2,,120.0,882,625,75000.0,0.0,,,,360,facade,90,standard z-girts,Crystalline,Mono,,,1652x994,0,,1,,No,- cost https://smithandandersen.com/projects/detail/11465 - utility rate https://www.auc.ab.ca/Pages/current-rates-electric.aspx,placeholder,0.74,1.02,0.008,,,,,Unknown,Integrated,circle,circle,Civic,360,22,75000.0,#c2cb7e
26,LUCIA Building,14.0,Weerasinghe et al. Economic Analysis,New Build,2014,2014,Spain,41.663705,-4.704234,Multi Family Residential,Unknown,,,0.23,,,,,,,,,0,700,,10.0,0,515,0.0,5150.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110644,placeholder,0.44,6.5,0.001,,,,,Unknown,Unknown,circle,circle,Multi Residential,Unknown,10,5150.0,#c2cb7e
27,Singapore Sports Hub,20.0,BIPV SG,New Build,2014,2014,Singapore,1.3060781,103.8739622,Stadium,The PVs located in Singapore Sports Hub are an application of a Rooftop BIPV.,,,,,,,,,,Rooftop,,,,,707.0,7000,0,0.0,0.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Stadium,Unknown,22,0.0,#c2cb7e
28,Wohnhaus in Zweisimmen,22.0,Swiss BIPV Competence Center,New Build,2014,2014,Switzerland,46.5572709,7.3761149,Multi Family Residential,Unknown,,,,19,,,,,,Pitched Roof,,,,,14.0,130,857.1428571,0.0,12000.0,,,,Unknown,Tiled BIPV Roof,30,,Crystalline,Mono,,Sunstyle SolarDach,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Multi Residential,Unknown,10,12000.0,#c2cb7e
29,Aktiv Energy Tower,18.0,IEA Case Studies,New Build,2013,2013,Austria,48.165708,14.029062,Office,"Fronius, a major manufacturer of inverters developed this office building to showcase the aesthetic properties of wafer-based semi-transparent BIPV facades. The three arrays feature a standardized glass-glass module in which the cell spacing has been varied vertically to allow more daylight into the building and create a more generous view than standard BIPV curtain wall designs.",,https://bipv.eurac.edu/en/case-studies/aktiv-energy-tower-fronius.html,,,,,,,Integrated,facade,standard,,,,15.834,255.2,0,0.0,0.0,,,,SW,glazed facade,90,,Crystalline,Mono,,Ertex,,63,grid,,,Yes,,fronius_aktiv_g,,,,Array,x,,,Facade,Integrated,triangle-right,square,Office,225,10,0.0,#c2cb7e
30,Aktiv Energy Tower,18.0,IEA Case Studies,New Build,2013,2013,Austria,48.165708,14.029062,Office,"Fronius, a major manufacturer of inverters developed this office building to showcase the aesthetic properties of wafer-based semi-transparent BIPV facades. The three arrays feature a standardized glass-glass module in which the cell spacing has been varied vertically to allow more daylight into the building and create a more generous view than standard BIPV curtain wall designs.",,https://bipv.eurac.edu/en/case-studies/aktiv-energy-tower-fronius.html,,,,,,,Integrated,facade,standard,,,,15.834,255.2,0,0.0,0.0,,,,NE,glazed facade,90,,Crystalline,Mono,,Ertex,,63,grid,,,Yes,,fronius_aktiv_g,,,,Array,x,,,Facade,Integrated,triangle-right,square,Office,45,10,0.0,#c2cb7e
31,Aktiv Energy Tower,18.0,IEA Case Studies,New Build,2013,2013,Austria,48.165708,14.029062,Office,"Fronius, a major manufacturer of inverters developed this office building to showcase the aesthetic properties of wafer-based semi-transparent BIPV facades. The three arrays feature a standardized glass-glass module in which the cell spacing has been varied vertically to allow more daylight into the building and create a more generous view than standard BIPV curtain wall designs.",,https://bipv.eurac.edu/en/case-studies/aktiv-energy-tower-fronius.html,,,,,,,Integrated,facade,standard,,,,8.19,132,0,0.0,0.0,,,,SE,glazed facade,90,,Crystalline,Mono,,Ertex,,63,grid,,,Yes,,fronius_aktiv_g,,,,Array,x,,,Facade,Integrated,triangle-right,square,Office,135,10,0.0,#c2cb7e
32,Bedok Mall,10.0,BIPV SG,New Build,2013,2013,Singapore,1.324764,103.9293811,Commercial,"Bedok Mall, located in the east of Singapore, is a great example of a skylight BIPV. With how it is being designed and built, it not only helps to produce energy but also saves cost when it comes to natural lighting.",,http://solargy.com.sg/new/index.php?route=news/article&ncat=79&news_id=50,,,,,,,Integrated,roof,,,,,4.632,0,0,0.0,0.0,,,,Unknown,skylight,,,Thin Film,a-Si,,Schott,,5,grid,,,,,bedok_o,,,,Project,x,,,Roof,Integrated,triangle-up,airfield,Commerical,Unknown,8,0.0,#c2cb7e
33,E-Railing in Arlberg,20.0,Weerasinghe et al. Economic Analysis,New Build,2013,2013,Austria,47.207879,10.140271,Single Family Residential,Unknown,,,0.205,,,,,,,,,41850,775,,7.6,54,789,0.0,5996.4,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110628,placeholder,0.18,2.9,0.01,,,,,Unknown,Unknown,circle,circle,Single Residential,Unknown,10,5996.4,#c2cb7e
34,Fdr. of Korean Industry,23.0,BIPV SG,New Build,2013,2013,South Korea,37.522134,126.9202403,Office,The Federation of Korean Industries have chose to create a building that consist of a curtain wall BIPV.,,,,,,,,,,Rooftop and Facade,,,,,,0,0,0.0,844000.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Mixed,Unknown,cross,heart,Office,Unknown,8,844000.0,#c2cb7e
35,Residence in Bern,17.0,Swiss BIPV Competence Center,New Build,2013,2013,Switzerland,46.9127791,7.6276829,Single Family Residential,Unknown,,,,,Na,,,,,Pitched Roof,,,,,27.0,168,916.6666667,0.0,24750.0,,,,Unknown,Tiled BIPV Roof,30,,Crystalline,Mono,,CNPV 205BLK Solrif,,14,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Single Residential,Unknown,14,24750.0,#c2cb7e
36,Ilot Rainier III,16.0,Swiss BIPV Competence Center,New Build,2013,2013,Monaco,46.9127791,7.6276829,Multi Family Residential,Unknown,,,,,Na,,,,,Canopy Roof,,,,,,0,0,0.0,0.0,,,,Unknown,Canopy,10,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Multi Residential,Unknown,8,0.0,#c2cb7e
37,Kita Marburg,12.0,Swiss BIPV Competence Center,New Build,2013,2013,Germany,50.7944817,8.7454449,Academic,Unknown,,,,,Na,,,,,Warm Facade,,,,,55.0,365,0,0.0,0.0,,,,South,BIPV Facade,90,,Crystalline,Mono,,Ertex Solar VSG Evo 4/4,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Institutional,180,14,0.0,#c2cb7e
38,Konya Science Center,20.0,Swiss BIPV Competence Center,New Build,2013,2013,Turkey,37.9872461,32.5934497,Civic,Unknown,,,,,Na,,,,,Glass Roof,,,,,11.55,134,0,0.0,0.0,,,,South,Glass-glass roof,45,,Crystalline,Poly,,VSG 4/4,,0,,,,,,placeholder,,,,,,,,Glazed,Unknown,diamond,diamond,Civic,180,10,0.0,#c2cb7e
39,NTT Aoba Dori,13.0,IEA Case Studies,New Build,2013,2013,Japan,38.257477,140.870575,Office,Unknown,,,,,,,,,Integrated,,standard,,,,20.0,423,0,0.0,0.0,self consumption,,,170,facade,,laminated,Crystalline,Poly,,,1790x302_1223x302_1414x302,0,,3,,No,,placeholder,,,,,,,,Unknown,Integrated,circle,circle,Office,170,10,0.0,#c2cb7e
40,P@rkCafeteria (Park HV),23.0,BIPV SG,New Build,2013,2013,Singapore,1.3118225,103.7955282,Restaurant,"Located in Holland Village, this little cafeteria consist of 72 pieces of solar modules that will generate up to 15Mwh of power annually.",,,,,,,,,,Rooftop,,,,,12.0,0,0,0.0,15000.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Hospitality,Unknown,10,15000.0,#c2cb7e
41,Azurmendi,9.0,IEA Case Studies,New Build,2012,2012,Spain,43.260507,-2.816087,Restaurant,"The restaurant's eating area is encased in a skylight and facade of highly transparent photovoltaic glass. The BIPV system, among many other attributes, led the restaurant to be declared the the most sustainable in the world in 2014. The glass is a low-e type with an amorphous silicon layer that provides a clearer view through the glass than a wafer-based approach.",,https://www.onyxsolar.com/azurmendi-restaurant,0.23,,,,,,Integrated,roof,standard,,,,21.0,284,785.7142857,0.0,16500.0,,,13.0,Unknown,skylight_warm facade,90_6,,Thin Film,a-Si,,Onyx,1628x1309_2653x1309,20,smooth,2,,,,azurmendi_interior_o,0.24,6.5,0.001,Project,x,,,Roof,Integrated,triangle-up,airfield,Hospitality,Unknown,14,16500.0,#c2cb7e
42,Bénéteau Group HQ,17.0,Swiss BIPV Competence Center,New Build,2012,2012,France,46.692836,-1.862762,Commercial,This office building features an exterior garden for employees that is covered with a photovoltaic canopy.,,https://www.bipv.ch/index.php/en/administration-s-en/item/1161-beneteau-eng,,,Na,,,,Integrated,canopy,,,,,36.0,400,2129.155556,0.0,76649.6,,,,Unknown,Canopy BIPV,0,,Crystalline,Poly,,Issol,,20,grid,,,,,beneteau_o,,,,Array,x,,,Canopy,Integrated,star-square,triangle,Commerical,Unknown,14,76649.6,#c2cb7e
43,Berger & Frank HQ,17.0,Swiss BIPV Competence Center,New Build,2012,2012,Switzerland,47.17556419,8.109536518,Office,This new construction office building is designed to curve in tangent to a neighboring traffic circle. This allows the BIPV facade to take advantage of a wide field of view and a range of azimuth positions.,,https://megasol.ch/en/referenzen/bf-architekten-sursee/,,,,,,,Integrated,facade,,,,,18.0,140,1130.5,0.0,20349.0,,,,SW,cold facade,90,,Crystalline,Mono,,Megasol,,0,,,,,,berger_frank_o,,,,Array,x,,,Facade,Integrated,triangle-right,square,Office,225,10,20349.0,#c2cb7e
44,Casa Solara,11.0,Weerasinghe et al. Economic Analysis,New Build,2012,2012,Switzerland,46.815083,9.261131,Single Family Residential,Unknown,,,0.235,,,,,,,,,67000,864,,34.0,346,727,0.0,24718.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110648,placeholder,0.29,2.87,0.02,,,,,Unknown,Unknown,circle,circle,Single Residential,Unknown,14,24718.0,#c2cb7e
45,Enzian,6.0,IEA Case Studies,New Build,2012,2012,Italy,46.482401,11.328054,Office,Unknown,,https://bipv.eurac.edu/en/case-studies/enzian-office.html,,,,,,,Integrated,,standard,,,,100.0,2340,0,0.0,0.0,,,,Unknown,facade,90,laminated,Thin Film,a-Si,,,1020x626,0,,1,,Yes,,placeholder,,,,,,,,Unknown,Integrated,circle,circle,Office,Unknown,14,0.0,#c2cb7e
46,Enzian office,13.0,Weerasinghe et al. Economic Analysis,New Build,2012,2012,Italy,46.482531,11.327766,Office,Unknown,,,0.27,,,,,,,,,0,994,,100.0,0,1130,0.0,113000.0,,,,Unknown,,,,Thin Film,a-Si,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110639,placeholder,0.24,3.62,0.001,,,,,Unknown,Unknown,circle,circle,Office,Unknown,14,113000.0,#c2cb7e
47,Residence in Lasa,17.0,IEA Case Studies,New Build,2012,2012,Italy,46.618663,10.696198,Single Family,Unknown,,,,,,,,,,,,,,,1.3,13,653.8461538,0.0,850.0,,,,Mixed,balcony,90,laminated,Crystalline,Mono,,,1120x1905_1120x2005,0,,2,,,,placeholder,,,,,,,,Unknown,Unknown,circle,circle,Single Residential,Mixed,8,850.0,#c2cb7e
48,Housing Ijsselstein,19.0,Swiss BIPV Competence Center,New Build,2012,2012,Netherlands,52.013479,5.0309,Multi Family Residential,Unknown,,https://kisscathcart.com/pdf/ijsselstein.pdf,,,30%,,1115.0,,,Warm Facade,,,,,22.4,420,0,0.0,0.0,,,,Mixed,Paneled BIPV Facade,90,,Thin Film,a-Si,,EPV,,40,,,,,,placeholder,,,,,,,This is a district project,Facade,Unknown,triangle-right,square,Multi Residential,Mixed,14,0.0,#c2cb7e
49,Keppel DHCS,11.0,BIPV SG,New Build,2012,2012,,1.3440629,103.9676076,Industrial,The Keppel DHCS is known for their Facade and Rooftop BIPVs. They were awarded the Solar Pioneer Award in 2012 and even made plans to expand the plant.,,,,,,,,,,Rooftop and Facade,,,,,550.0,5000,0,0.0,50000.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Mixed,Unknown,cross,heart,Industrial,Unknown,22,50000.0,#c2cb7e
50,Sport Center Visp,17.0,Swiss BIPV Competence Center,New Build,2012,2012,Switzerland,46.297007,7.876356,Sport,Unknown,,https://www.archdaily.com/444289/sgv-savioz-fabrizzi-architectes,,,,,,,,Pitched Roof,,,,,145.0,1200,900,0.0,130500.0,,,,Unknown,Tiled BIPV Roof,30,,Crystalline,Poly,,Kyocera KD245GH-2PB,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Civic,Unknown,22,130500.0,#c2cb7e
